## Dataset

Sample (300 rows) from Kaggle Credit Card Transactions dataset.

Full source:[https://www.kaggle.com/datasets/thedevastator/analyzing-credit-card-spending-habits-in-india]


transaction_id,city,transaction_date,card_type,exp_type,gender,amount
25790,Jaipur,3-Jul-14,Silver,Travel,M,297660
25791,Jaipur,15-Mar-15,Platinum,Travel,F,259587
25792,Kanpur,5-Sep-14,Platinum,Travel,F,104663
25793,Kolkata,12-Jan-15,Gold,Travel,M,85453
25794,Pune,30-Jun-14,Signature,Travel,M,107084
25795,Kanpur,7-Mar-14,Silver,Travel,F,113148
25796,Kanpur,12-May-15,Platinum,Travel,F,261193
25797,Kolkata,15-May-14,Signature,Travel,M,273992
25798,Surat,5-Jun-14,Gold,Travel,F,45718
25799,Chennai,29-Jan-15,Signature,Travel,M,174276
25800,Jaipur,11-Dec-14,Gold,Travel,M,215137
25801,Surat,13-Nov-14,Silver,Travel,M,247342
25802,Surat,23-Jul-14,Signature,Travel,F,269906
25803,Lucknow,15-Mar-15,Gold,Travel,M,49428
25804,Hyderabad,26-Jan-14,Signature,Travel,M,297354
25805,Kanpur,13-Jun-14,Signature,Travel,F,87540
25806,Hyderabad,7-Oct-13,Platinum,Travel,M,33530
25807,Hyderabad,12-Oct-13,Signature,Travel,F,111294
25808,Hyderabad,6-Aug-14,Silver,Travel,F,199288
25809,Jaipur,18-May-14,Gold,Travel,F,272679
25810,Hyderabad,18-Oct-13,Silver,Travel,F,111237
25811,Hyderabad,31-Jan-15,Gold,Travel,F,152789
25812,Hyderabad,13-Mar-14,Platinum,Travel,F,146059
25813,Chennai,23-Oct-13,Platinum,Travel,F,178975
25814,Pune,13-May-15,Platinum,Travel,F,179845
25815,Hyderabad,2-Jan-14,Gold,Travel,M,207589
25816,Jaipur,3-Oct-14,Gold,Travel,F,84446
25817,Pune,5-Nov-13,Signature,Travel,M,158988
25818,Jaipur,1-Feb-14,Platinum,Travel,F,92678
25819,Hyderabad,2-Jun-14,Silver,Travel,M,92239
25820,Pune,9-Nov-14,Gold,Travel,M,22228
25821,Hyderabad,23-Dec-14,Silver,Travel,M,140226
25822,Hyderabad,27-Jun-14,Silver,Travel,M,61084
25823,Hyderabad,19-Feb-15,Gold,Travel,M,272112
25824,Hyderabad,12-Nov-13,Signature,Travel,F,271925
25825,Chennai,6-Apr-14,Platinum,Travel,M,267629
25826,Kanpur,27-Apr-15,Silver,Travel,F,274034
25827,Kanpur,21-Oct-13,Silver,Travel,F,43208
25828,Kanpur,18-Oct-14,Gold,Travel,M,154097
25829,Lucknow,5-Feb-14,Gold,Travel,F,273235
25830,Kanpur,20-Apr-15,Signature,Travel,F,27925
25831,Kanpur,17-Jan-14,Gold,Travel,M,281115
25832,Chennai,18-Dec-14,Gold,Travel,M,39701
25833,Chennai,29-May-14,Signature,Travel,F,20960
25834,Chennai,7-Nov-14,Silver,Travel,F,78435
25835,Kanpur,11-Nov-14,Gold,Travel,M,160852
25836,Kolkata,3-Aug-14,Signature,Travel,F,91540
25837,Lucknow,14-Jan-14,Gold,Travel,M,51928
25838,Kanpur,5-Oct-13,Silver,Travel,F,264641
25839,Surat,2-Nov-14,Gold,Travel,M,193536
25840,Chennai,25-Oct-14,Signature,Travel,M,272123
25841,Hyderabad,21-Nov-14,Gold,Travel,M,217264
25842,Chennai,15-Dec-13,Platinum,Travel,F,114120
25843,Kanpur,14-May-14,Platinum,Travel,M,183693
25844,Pune,20-Dec-14,Platinum,Travel,F,152308
25845,Chennai,23-May-14,Silver,Travel,F,82918
25846,Lucknow,24-Nov-14,Signature,Travel,M,165960
25847,Surat,14-Mar-15,Platinum,Travel,M,50366
25848,Jaipur,15-Apr-14,Gold,Travel,M,288512
25849,Chennai,20-May-14,Gold,Travel,F,150266
25850,Kanpur,22-Jun-14,Platinum,Travel,M,15797
25851,Lucknow,6-Sep-14,Gold,Travel,F,164805
25852,Hyderabad,7-Oct-14,Gold,Travel,M,125742
25853,Lucknow,13-Aug-14,Platinum,Travel,M,183804
25854,Chennai,13-Feb-14,Signature,Travel,F,55431
25855,Surat,10-Dec-13,Gold,Travel,F,183810
25856,Hyderabad,6-Oct-13,Gold,Travel,F,83660
25857,Jaipur,5-Nov-14,Gold,Travel,M,257929
25858,Lucknow,10-Jan-14,Gold,Travel,F,15452
25859,Jaipur,30-Dec-14,Platinum,Travel,M,79692
25860,Jaipur,9-May-15,Silver,Travel,F,282385
25861,Lucknow,21-Feb-14,Platinum,Travel,F,54699
25862,Chennai,16-Jan-15,Gold,Travel,F,238762
25863,Surat,23-Apr-14,Gold,Travel,F,240193
25864,Surat,9-Dec-13,Silver,Travel,M,5143
25865,Jaipur,20-Feb-15,Gold,Travel,F,46817
25866,Kanpur,2-Feb-14,Platinum,Travel,M,43483
25867,Lucknow,27-Dec-14,Signature,Travel,F,97488
25868,Jaipur,4-Nov-14,Silver,Travel,F,255641
25869,Lucknow,20-Feb-15,Platinum,Travel,M,10395
25870,Lucknow,19-Nov-14,Signature,Travel,M,91499
25871,Pune,30-May-14,Signature,Travel,F,121283
25872,Kolkata,3-Feb-14,Gold,Travel,F,88633
25873,Chennai,11-Oct-13,Signature,Travel,M,50314
25874,Pune,6-Oct-14,Silver,Travel,M,189567
25875,Surat,24-Oct-13,Platinum,Travel,M,93132
25876,Jaipur,15-Apr-15,Gold,Travel,M,219903
25877,Hyderabad,25-Feb-14,Platinum,Travel,M,88240
25878,Kolkata,21-Apr-14,Gold,Travel,M,2436
25879,Pune,21-Jan-14,Signature,Travel,M,56718
25880,Kolkata,5-Dec-13,Signature,Travel,F,237253
25881,Kanpur,28-Nov-13,Silver,Travel,M,269328
25882,Kanpur,26-Mar-14,Platinum,Travel,M,68463
25883,Surat,11-Apr-14,Platinum,Travel,M,51652
25884,Lucknow,5-Jul-14,Signature,Travel,M,219540
25885,Jaipur,2-Apr-15,Silver,Travel,F,132335
25886,Pune,25-Nov-14,Platinum,Travel,M,136076
25887,Chennai,3-Apr-14,Signature,Travel,M,270128
25888,Kanpur,9-Mar-14,Silver,Travel,F,174146
25889,Pune,7-Nov-14,Platinum,Travel,M,30821
25890,Lucknow,30-Dec-13,Signature,Travel,F,107372
25891,Kolkata,2-May-14,Signature,Travel,M,57493
25892,Kanpur,10-Mar-14,Gold,Travel,M,259593
25893,Chennai,17-Apr-15,Platinum,Travel,F,136851
25894,Jaipur,20-Apr-15,Platinum,Travel,M,173519
25895,Chennai,9-May-15,Silver,Travel,F,192383
25896,Lucknow,12-Mar-15,Silver,Travel,F,129164
25897,Pune,20-Dec-13,Platinum,Travel,M,164492
25898,Lucknow,22-Oct-13,Silver,Travel,M,150497
25899,Chennai,29-Jan-15,Gold,Travel,M,4284
25900,Pune,11-Dec-13,Signature,Travel,F,178478
25901,Kolkata,15-Jan-15,Gold,Travel,F,117543
25902,Jaipur,19-Jun-14,Gold,Travel,M,90055
25903,Kolkata,3-Jan-14,Silver,Travel,M,29747
25904,Hyderabad,11-Feb-15,Signature,Travel,F,254461
25905,Lucknow,21-Nov-14,Gold,Travel,M,106023
25906,Surat,20-Nov-13,Gold,Travel,F,214140
25907,Pune,28-Jan-14,Silver,Travel,F,271663
25908,Jaipur,25-Dec-13,Signature,Travel,M,116143
25909,Kolkata,7-Jan-14,Gold,Travel,F,260837
25910,Kanpur,10-Apr-15,Platinum,Travel,F,70356
25911,Jaipur,22-Oct-14,Platinum,Travel,F,207194
25912,Surat,17-Feb-15,Platinum,Travel,F,242805
25913,Jaipur,18-Mar-15,Signature,Travel,M,230220
25914,Pune,22-Dec-14,Signature,Travel,M,107620
25915,Lucknow,23-Feb-15,Silver,Travel,F,227672
25916,Pune,1-May-14,Gold,Travel,F,249946
25917,Jaipur,7-Jun-14,Signature,Travel,M,136155
25918,Hyderabad,27-Mar-14,Silver,Travel,F,153801
25919,Kolkata,18-Feb-15,Silver,Travel,M,146265
25920,Pune,5-Aug-14,Signature,Travel,F,18441
25921,Kanpur,20-May-14,Silver,Travel,M,254690
25922,Kanpur,18-Nov-13,Signature,Travel,F,221664
25923,Jaipur,1-May-15,Gold,Travel,F,42824
25924,Hyderabad,4-Apr-14,Platinum,Travel,F,251173
25925,Pune,19-Apr-15,Silver,Travel,M,267935
25926,Chennai,23-Nov-14,Gold,Travel,F,236444
25927,Kolkata,16-Apr-15,Gold,Travel,F,17731
25928,Surat,15-Feb-15,Silver,Travel,F,104750
25929,Kolkata,11-Oct-13,Silver,Travel,F,130957
25930,Surat,29-Jul-14,Gold,Travel,M,19458
25931,Lucknow,4-Mar-15,Gold,Travel,F,80692
25932,Hyderabad,18-Mar-14,Signature,Travel,M,247646
25933,Kanpur,27-Mar-15,Signature,Travel,F,213989
25934,Kolkata,22-Feb-15,Signature,Travel,F,109394
25935,Pune,2-Dec-13,Gold,Travel,F,165550
25936,Hyderabad,5-Nov-14,Platinum,Travel,F,139737
25937,Pune,29-Dec-13,Signature,Travel,M,73273
25938,Chennai,26-Aug-14,Signature,Travel,M,112947
25939,Chennai,5-Jul-14,Gold,Travel,M,229255
25940,Lucknow,1-Mar-14,Silver,Travel,M,191604
25941,Hyderabad,20-Oct-14,Silver,Travel,F,230308
25942,Jaipur,24-Apr-15,Silver,Travel,M,30277
25943,Chennai,26-Jan-15,Platinum,Travel,F,180888
25944,Chennai,17-Jul-14,Platinum,Travel,F,7761
25945,Chennai,4-Apr-14,Gold,Travel,F,159586
25946,Surat,13-Apr-15,Gold,Travel,F,266778
25947,Kanpur,25-Dec-13,Gold,Travel,F,20506
25948,Surat,9-Aug-14,Gold,Travel,M,78164
25949,Kanpur,29-May-14,Signature,Travel,M,226192
25950,Lucknow,28-Jan-14,Platinum,Travel,F,57507
25951,Pune,17-Mar-14,Silver,Travel,M,65615
25952,Surat,22-Jun-14,Gold,Travel,M,287521
25953,Kanpur,4-Feb-14,Signature,Travel,F,115210
25954,Pune,5-Apr-14,Gold,Travel,M,224030
25955,Kolkata,28-Mar-14,Silver,Travel,F,75978
25956,Lucknow,17-Sep-14,Platinum,Travel,F,96595
25957,Hyderabad,10-Feb-14,Gold,Travel,F,185731
25958,Kolkata,6-Apr-14,Platinum,Travel,M,82891
25959,Chennai,13-Dec-14,Signature,Travel,F,106688
25960,Pune,20-Apr-14,Silver,Travel,M,183445
25961,Chennai,4-Feb-14,Signature,Travel,F,163271
25962,Kanpur,26-Jun-14,Signature,Travel,F,151088
25963,Surat,1-Mar-15,Platinum,Travel,F,297634
25964,Kanpur,12-May-14,Gold,Travel,M,41484
25965,Pune,7-Nov-14,Signature,Travel,M,60546
25966,Kanpur,25-Nov-14,Platinum,Travel,F,76275
25967,Lucknow,12-Mar-15,Platinum,Travel,M,202980
25968,Lucknow,3-Apr-14,Platinum,Travel,M,46067
25969,Surat,26-Oct-14,Platinum,Travel,F,142755
25970,Chennai,15-Feb-15,Signature,Travel,M,197734
25971,Hyderabad,21-Apr-15,Signature,Travel,F,175008
25972,Pune,15-Feb-15,Gold,Travel,M,12557
25973,Jaipur,3-Mar-15,Gold,Travel,F,160691
25974,Kolkata,12-Apr-15,Gold,Travel,F,199029
25975,Chennai,22-Nov-14,Silver,Travel,M,211295
25976,Lucknow,31-Dec-14,Silver,Travel,M,199741
25977,Surat,13-Nov-14,Silver,Travel,M,147881
25978,Hyderabad,14-Jun-14,Silver,Travel,F,210926
25979,Hyderabad,6-Oct-14,Gold,Travel,M,20488
25980,Kanpur,27-Apr-15,Signature,Travel,F,222093
25981,Chennai,9-Feb-15,Gold,Travel,F,80383
25982,Hyderabad,1-Mar-15,Platinum,Travel,M,197291
25983,Pune,20-Sep-14,Signature,Travel,M,152380
25984,Surat,15-Apr-15,Platinum,Travel,M,198934
25985,Kanpur,1-Mar-14,Silver,Travel,M,150227
25986,Jaipur,1-Feb-15,Gold,Travel,F,129544
25987,Kolkata,27-Mar-15,Platinum,Travel,F,54294
25988,Hyderabad,13-Nov-13,Gold,Travel,F,1070
25989,Kanpur,11-Jan-15,Platinum,Travel,F,299582
25990,Surat,19-Mar-15,Gold,Travel,M,118524
25991,Hyderabad,28-Aug-14,Platinum,Travel,M,201471
25992,Kanpur,20-Dec-14,Silver,Travel,F,252704
25993,Lucknow,14-Apr-15,Gold,Travel,F,232967
25994,Chennai,18-Apr-15,Platinum,Travel,F,243160
25995,Lucknow,10-Nov-13,Silver,Travel,F,70237
25996,Chennai,12-Oct-13,Silver,Travel,F,172443
25997,Kanpur,27-Feb-15,Platinum,Travel,F,52565
25998,Lucknow,12-Dec-14,Silver,Travel,F,274411
25999,Kolkata,29-Sep-14,Gold,Travel,M,171734
26000,Hyderabad,3-Aug-14,Signature,Travel,M,41578
26001,Hyderabad,28-Oct-14,Platinum,Travel,M,23662
26002,Jaipur,5-Aug-14,Signature,Travel,F,109269
26003,Kanpur,18-Feb-14,Signature,Travel,M,60411
26004,Surat,25-May-15,Platinum,Travel,F,141306
26005,Hyderabad,10-Oct-13,Signature,Travel,F,21777
26006,Surat,18-Mar-15,Gold,Travel,F,10888
26007,Kolkata,29-Apr-15,Silver,Travel,F,196906
26008,Kanpur,14-Mar-15,Silver,Travel,F,224481
26009,Pune,18-Feb-14,Gold,Travel,M,266505
26010,Surat,24-Nov-14,Signature,Travel,F,153774
26011,Hyderabad,14-Apr-15,Gold,Travel,F,135374
26012,Lucknow,13-Nov-13,Signature,Travel,F,52609
26013,Hyderabad,30-Dec-13,Gold,Travel,M,69498
26014,Kolkata,22-May-14,Gold,Travel,M,188617
26015,Jaipur,19-Jul-14,Signature,Travel,F,44768
26016,Jaipur,25-Dec-13,Signature,Travel,F,124630
26017,Chennai,11-Mar-15,Gold,Travel,F,51574
26018,Pune,14-May-15,Silver,Travel,M,270769
26019,Surat,21-Feb-14,Signature,Travel,M,226514
26020,Surat,31-Jan-14,Signature,Travel,M,208779
26021,Kolkata,16-Nov-14,Gold,Travel,F,39923
26022,Kolkata,13-Jun-14,Silver,Travel,M,183853
26023,Kanpur,24-Sep-14,Gold,Travel,F,124591
26024,Jaipur,3-Jul-14,Signature,Travel,F,203052
26025,Jaipur,5-Jun-14,Signature,Travel,F,212172
26026,Hyderabad,15-Feb-14,Silver,Travel,F,180884
26027,Chennai,16-May-14,Gold,Travel,M,72145
26028,Kolkata,23-Nov-14,Signature,Travel,M,136863
26029,Lucknow,20-Nov-13,Silver,Travel,F,263420
26030,Kanpur,1-Jan-15,Platinum,Travel,M,224671
26031,Lucknow,20-Jul-14,Silver,Travel,M,123503
26032,Kanpur,7-Jul-14,Signature,Travel,M,262233
26033,Kanpur,4-Feb-15,Platinum,Travel,F,20961
26034,Jaipur,1-Oct-14,Platinum,Travel,F,286104
26035,Kanpur,2-Dec-14,Platinum,Travel,F,178865
26036,Pune,4-Jul-14,Signature,Travel,M,266219
26037,Kanpur,28-Jul-14,Platinum,Travel,F,92560
26038,Hyderabad,19-Jun-14,Signature,Travel,M,6875
26039,Surat,19-May-15,Gold,Travel,M,269464
26040,Kanpur,15-Dec-14,Silver,Travel,F,129095
26041,Hyderabad,26-Oct-13,Gold,Travel,F,163352
26042,Chennai,8-Dec-13,Signature,Travel,M,207941
26043,Hyderabad,15-Jan-15,Silver,Travel,M,194550
26044,Hyderabad,15-May-15,Silver,Travel,F,280335
26045,Kolkata,14-Oct-14,Gold,Travel,M,243249
26046,Kolkata,26-Feb-14,Signature,Travel,F,170049
26047,Hyderabad,9-Oct-13,Signature,Travel,M,198903
26048,Kolkata,22-Jun-14,Silver,Travel,F,128191
26049,Pune,3-Aug-14,Signature,Travel,M,246316
26050,Hyderabad,16-Jan-15,Silver,Travel,M,265019
26051,Kanpur,14-Sep-14,Silver,Travel,M,88174
